Kyle Krstulich
2023-03-30
CSCI151
output.txt


2022 Drafts

Team                    Draft round         Draft rank          Name                Position            Touchdowns          College             Games played        
BAL                     4                    141                  Damarion Williams    CB                   0                    Houston              14                   
BAL                     6                    196                  Tyler Badie          RB                   1                    Missouri             1                    
WAS                     1                    16                   Jahan Dotson         WR                   7                    Penn St.             12                   
WAS                     2                    47                   Phidarian Mathis     DT                   0                    Alabama              1                    
WAS                     3                    98                   Brian Robinson Jr.   RB                   3                    Alabama              12                   
WAS                     4                    113                  Percy Butler         SAF                  0                    Louisiana            15                   
WAS                     5                    144                  Sam Howell           QB                   2                    North Carolina       1                    
WAS                     5                    149                  Cole Turner          TE                   0                    Nevada               10                   
WAS                     7                    230                  Chris Paul           OL                   0                    Tulsa                1                    
WAS                     7                    240                  Christian Holmes     CB                   0                    Oklahoma St.         17                   
LAC                     1                    17                   Zion Johnson         G                    0                    Boston Col.          17                   
LAC                     3                    79                   JT Woods             SAF                  0                    Baylor               10                   
LAC                     4                    123                  Isaiah Spiller       RB                   0                    Texas A&M            6                    
LAC                     5                    160                  Otito Ogbonnia       DT                   0                    UCLA                 7                    
LAC                     6                    195                  Jamaree Salyer       OL                   0                    Georgia              17                   
LAC                     6                    214                  Ja'Sir Taylor        DB                   0                    Wake Forest          17                   
LAC                     7                    236                  Deane Leonard        DB                   0                    Mississippi          17                   
LAC                     7                    260                  Zander Horvath       RB                   2                    Purdue               15                   
TEN                     1                    18                   Treylon Burks        WR                   1                    Arkansas             11                   
TEN                     2                    35                   Roger McCreary       CB                   0                    Auburn               17                   
TEN                     3                    69                   Nicholas Petit-Frere T                    0                    Ohio St.             16                   
TEN                     3                    86                   Malik Willis         QB                   1                    Liberty              8                    
TEN                     4                    131                  Hassan Haskins       RB                   0                    Michigan             15                   
TEN                     4                    143                  Chigoziem Okonkwo    TE                   3                    Maryland             17                   
TEN                     5                    163                  Kyle Philips         WR                   0                    UCLA                 4                    
TEN                     6                    204                  Theo Jackson         DB                   0                    Tennessee            11                   
TEN                     6                    219                  Chance Campbell      LB                   0                    Mississippi          0                    
PIT                     1                    20                   Kenny Pickett        QB                   10                   Pittsburgh           13                   
PIT                     2                    52                   George Pickens       WR                   5                    Georgia              17                   
PIT                     3                    84                   DeMarvin Leal        DT                   0                    Texas A&M            11                   
PIT                     4                    138                  Calvin Austin        WR                   0                    Memphis              0                    
PIT                     6                    208                  Connor Heyward       TE                   1                    Michigan St.         17                   
PIT                     7                    225                  Mark Robinson        LB                   0                    Mississippi          4                    
PIT                     7                    241                  Chris Oladokun       QB                   0                    South Dakota St.     0                    
KAN                     1                    21                   Trent McDuffie       CB                   0                    Washington           11                   
KAN                     1                    30                   George Karlaftis III DE                   0                    Purdue               17                   
KAN                     2                    54                   Skyy Moore           WR                   0                    Western Michigan     16                   
KAN                     2                    62                   Bryan Cook           SAF                  0                    Cincinnati           16                   
KAN                     3                    103                  Leo Chenal           LB                   0                    Wisconsin            17                   
KAN                     4                    135                  Joshua Williams      CB                   0                    Fayetteville St.     17                   
KAN                     5                    145                  Darian Kinnard       T                    0                    Kentucky             1                    
KAN                     7                    243                  Jaylen Watson        DB                   0                    Washington St.       16                   
KAN                     7                    251                  Isiah Pacheco        RB                   5                    Rutgers              17                   
KAN                     7                    259                  Nazeeh Johnson       SAF                  0                    Marshall             11                   
GNB                     1                    22                   Quay Walker          LB                   0                    Georgia              17                   
GNB                     1                    28                   Devonte Wyatt        DT                   0                    Georgia              16                   
GNB                     2                    34                   Christian Watson     WR                   9                    North Dakota St.     14                   
GNB                     3                    92                   Sean Rhyan           OL                   0                    UCLA                 1                    
GNB                     4                    132                  Romeo Doubs          WR                   3                    Nevada               13                   
GNB                     4                    140                  Zach Tom             OL                   0                    Wake Forest          9                    
GNB                     5                    179                  Kingsley Enagbare    DE                   0                    South Carolina       17                   
GNB                     7                    228                  Tariq Carpenter      DB                   0                    Georgia Tech         14                   
GNB                     7                    234                  Jonathan Ford        DT                   0                    Miami (FL)           0                    
GNB                     7                    249                  Rasheed Walker       OL                   0                    Penn St.             1                    
GNB                     7                    258                  Samori Toure         WR                   1                    Nebraska             11                   
BUF                     1                    23                   Kaiir Elam           CB                   0                    Florida              13                   
BUF                     2                    63                   James Cook           RB                   3                    Georgia              16                   
BUF                     3                    89                   Terrel Bernard       LB                   0                    Baylor               16                   
BUF                     5                    148                  Khalil Shakir        WR                   1                    Boise St.            14                   
BUF                     6                    180                  Matt Araiza          P                    0                    San Diego St.        0                    
BUF                     6                    185                  Christian Benford    DB                   0                    Villanova            9                    
BUF                     6                    209                  Luke Tenuta          OL                   0                    Virginia Tech        3                    
BUF                     7                    231                  Baylon Spector       LB                   0                    Clemson              6                    
DAL                     1                    24                   Tyler Smith          OL                   0                    Tulsa                17                   
DAL                     2                    56                   Sam Williams         DE                   0                    Mississippi          15                   
DAL                     3                    88                   Jalen Tolbert        WR                   0                    South Alabama        8                    
DAL                     4                    129                  Jake Ferguson        TE                   2                    Wisconsin            16                   
DAL                     5                    155                  Matt Waletzko        OL                   0                    North Dakota         3                    
DAL                     5                    167                  DaRon Bland          DB                   0                    Fresno St.           17                   
DAL                     5                    176                  Damone Clark         LB                   0                    LSU                  10                   
DAL                     5                    178                  John Ridgeway        DT                   0                    Arkansas             15                   
DAL                     6                    193                  Devin Harper         LB                   0                    Oklahoma St.         3                    
NWE                     1                    29                   Cole Strange         OL                   0                    Chattanooga          17                   
NWE                     2                    50                   Tyquan Thornton      WR                   3                    Baylor               13                   
NWE                     3                    85                   Marcus Jones         CB                   1                    Houston              15                   
NWE                     4                    121                  Jack Jones           DB                   0                    Arizona St.          13                   
NWE                     4                    127                  Pierre Strong        RB                   1                    South Dakota St.     15                   
NWE                     4                    137                  Bailey Zappe         QB                   5                    Western Kentucky     4                    
NWE                     6                    183                  Kevin Harris         RB                   1                    South Carolina       5                    
NWE                     6                    200                  Sam Roberts          DE                   0                    NW Missouri St.      5                    
NWE                     6                    210                  Chasen Hines         G                    0                    LSU                  0                    
NWE                     7                    245                  Andrew Stueber       OL                   0                    Michigan             0                    
CIN                     1                    31                   Daxton Hill          DB                   0                    Michigan             15                   
CIN                     2                    60                   Cam Taylor-Britt     CB                   0                    Nebraska             10                   
CIN                     3                    95                   Zachary Carter       DE                   0                    Florida              16                   
CIN                     4                    136                  Cordell Volson       T                    0                    North Dakota St.     16                   
CIN                     5                    166                  Tycen Anderson       SAF                  0                    Toledo               0                    
CIN                     7                    252                  Jeff Gunter          OLB                  0                    Coastal Carolina     10                   
MIN                     1                    32                   Lewis Cine           DB                   0                    Georgia              3                    
MIN                     2                    42                   Andrew Booth         CB                   0                    Clemson              6                    
MIN                     2                    59                   Ed Ingram            G                    0                    LSU                  17                   
MIN                     3                    66                   Brian Asamoah        LB                   0                    Oklahoma             16                   
MIN                     4                    118                  Akayleb Evans        DB                   0                    Missouri             10                   
MIN                     5                    165                  Esezi Otomewo        DT                   0                    Minnesota            5                    
MIN                     5                    169                  Ty Chandler          RB                   0                    North Carolina       3                    
MIN                     6                    184                  Vederian Lowe        OL                   0                    Illinois             4                    
MIN                     6                    191                  Jalen Nailor         WR                   1                    Michigan St.         15                   
MIN                     7                    227                  Nick Muse            TE                   0                    South Carolina       10                   
TAM                     2                    33                   Logan Hall           DE                   0                    Houston              17                   
TAM                     2                    57                   Luke Goedeke         OL                   0                    Central Michigan     11                   
